"year","ice_prop_area","ncell"
1979,3561419243421.05,234116
1980,3427235855263.16,227512
1981,3473100411184.21,228901
1982,3560835032894.74,234674
1983,3437481578947.37,227849
1984,3502116282894.74,232623
1985,3591798684210.53,233677
1986,3317109210526.32,222141
1987,3547002138157.9,236177
1988,3536502796052.63,237617
1989,3512822697368.42,234639
1990,3496835361842.11,233406
1991,3524337417763.16,239989
1992,3493122861842.11,237673
1993,3487640871710.53,235209
1994,3638618667763.16,241317
1995,3603358388157.9,244315
1996,3601501151315.79,243331
1997,3527037335526.32,235631
1998,3582576480263.16,241900
1999,3576910444078.95,242563
2000,3661313569078.95,241466
2001,3546085855263.16,240290
2002,3429594161184.21,230427
2003,3663243914473.68,244290
2004,3675355345394.74,246178
2005,3527043996710.53,239892
2006,3488205674342.11,234389
2007,3625462417763.16,238542
2008,3762418009868.42,247642
2009,3719000493421.05,243071
2010,3707460608552.63,243812
2011,3518381496710.53,231678
2012,3739353453947.37,242246
2013,3923241611842.11,251975
2014,3967513075657.9,255790
2015,3781250986842.11,248674
2016,3350426480263.16,225380
