"area","month","year"
17169647255847,10,1978
15926157560234.8,11,1978
11508190249597,12,1978
5334054023413.63,1,1979
2829910213070.52,2,1979
4105416561448.84,3,1979
7728768958222.35,4,1979
10959478641046.4,5,1979
14264589263168.1,6,1979
16357861454220.9,7,1979
17645475999901.6,8,1979
17942169218619.4,9,1979
17565516584005.8,10,1979
15376519938529.5,11,1979
10304877299675,12,1979
4395806785319.11,1,1980
2625333629235.83,2,1980
3259277766497.67,3,1980
5502688663365.16,4,1980
9013999513232.47,5,1980
12748613252139.9,6,1980
15649575777035.3,7,1980
17624995380822.1,8,1980
18609044601102.9,9,1980
18428358722780.4,10,1980
16255748324793.4,11,1980
11609839460459.5,12,1980
4173848202202.92,1,1981
2604275285241.69,2,1981
3348844147718.74,3,1981
5877652582740.26,4,1981
9640759738551.42,5,1981
13450845858807.8,6,1981
15991124023910.6,7,1981
17759357709220.7,8,1981
18686450615148.6,9,1981
18320191816754.7,10,1981
15878420108047.8,11,1981
12181214497043.8,12,1981
5644373048244.77,1,1982
2864297142083.82,2,1982
4419629297730.09,3,1982
7826471370825.55,4,1982
10697872580945,5,1982
13542021082003.6,6,1982
15798558638083.4,7,1982
17660882239575.6,8,1982
18171404541060,9,1982
17523244189853.1,10,1982
15530747837749.8,11,1982
9707497857497.35,12,1982
4555674392898.16,1,1983
3050877142375.36,2,1983
4008873888248.15,3,1983
6643104981799.24,4,1983
9642874534718.78,5,1983
12902340010923.8,6,1983
15489814501496.6,7,1983
17129075047660.1,8,1983
18366442586231.3,9,1983
17646591124978.5,10,1983
15828690130295.4,11,1983
11601401409470.8,12,1983
4644990984188.32,1,1984
2490658943926.32,2,1984
3598069333226.26,3,1984
6568801261799.11,4,1984
9908923604320.28,5,1984
13485229490836.8,6,1984
16293942740123.8,7,1984
17709937850474.7,8,1984
18194204779264.7,9,1984
17305807791860.9,10,1984
16117332573346.2,11,1984
11153103368594.8,12,1984
4258109485570.42,1,1985
2586865972340.01,2,1985
3718833674168.58,3,1985
6655692940397.08,4,1985
10415462287523.4,5,1985
13537957591303.6,6,1985
15642768300660,7,1985
17590081218914.7,8,1985
18570467855280.9,9,1985
17983938588754.3,10,1985
15938173834905.6,11,1985
12212147788199,12,1985
4964729383800.36,1,1986
2916313276933.27,2,1986
3736648633494.57,3,1986
6508564916670.28,4,1986
9350751900410.45,5,1986
12871800383411.9,6,1986
15371391943897.9,7,1986
17282473771180.2,8,1986
17534532950452.4,9,1986
17137046952233.7,10,1986
15067760840174.5,11,1986
9922213677430.43,12,1986
4746459692811.93,1,1987
2994509793999.33,2,1987
4063261434649.71,3,1987
6952935641152.09,4,1987
9810226672206.93,5,1987
12839457654722.7,6,1987
15736492665418.1,7,1987
17518592717178.5,8,1987
18301952243291.3,9,1987
17580874535504.5,10,1987
15399340187716.6,11,1987
13161103079644.2,12,1987
3637614603897.87,1,1988
2615488252496.23,2,1988
4052472438765.4,3,1988
6444088310600,4,1988
9918683316087.05,5,1988
13194108782988.6,6,1988
15868424874214,7,1988
17641203192393.6,8,1988
18204366665926.6,9,1988
18130775062150.2,10,1988
16177935475406.2,11,1988
12272552010686,12,1988
4605818461668.89,1,1989
2798374133495.76,2,1989
3883199693800.5,3,1989
6449020785660.32,4,1989
10721359216399.7,5,1989
13768242857110.2,6,1989
15732794692768.6,7,1989
17324682017287.5,8,1989
17886529012382,9,1989
17642336314135.2,10,1989
15670034666888.7,11,1989
10749581625837.8,12,1989
4688130770184.17,1,1990
2725063285553.14,2,1990
4011677768202.72,3,1990
7085375511776.01,4,1990
9922023055568.83,5,1990
13336626739205.6,6,1990
15617280740268.7,7,1990
17534733781063.1,8,1990
18068943101666.3,9,1990
17775312221486.6,10,1990
15601301322778.4,11,1990
10770332544459.5,12,1990
5182557163300.36,1,1991
2702040855655.55,2,1991
4021300538161.73,3,1991
7075681630105.29,4,1991
10664588681980.9,5,1991
13122017019465.9,6,1991
15797840574017.3,7,1991
17733156524366.4,8,1991
18145022569448.4,9,1991
17768206863062.6,10,1991
15638702052162.9,11,1991
11343700797309.2,12,1991
4503216636593.49,1,1992
2627661880011.05,2,1992
3778094614368.55,3,1992
7023357401153.93,4,1992
9970912696022.2,5,1992
12897639193865.6,6,1992
16116435812387.8,7,1992
17739424382519.3,8,1992
17995893062829.8,9,1992
17807043790076,10,1992
15865979216214.3,11,1992
11205132694984,12,1992
4257970272541.08,1,1993
2176334322634.98,2,1993
3813601470935.15,3,1993
6745484486671.96,4,1993
10175726042389.9,5,1993
13239288168738.4,6,1993
16007974691821.4,7,1993
17399022000280,8,1993
18284979467236.7,9,1993
17962084475240.8,10,1993
15984831001546.7,11,1993
11083503611052.3,12,1993
5171309352781.2,1,1994
2913134790034.88,2,1994
4738366602055.07,3,1994
7264576958965.23,4,1994
10535553765946.2,5,1994
13709719809373.8,6,1994
16396270054104.2,7,1994
17828571935601.5,8,1994
18497063553913.2,9,1994
17812573866354.5,10,1994
15970938242337.7,11,1994
10578269654162.2,12,1994
6003398845407.64,1,1995
3232915311352.29,2,1995
4620988874136.45,3,1995
7355134745169.39,4,1995
10616074505930.3,5,1995
13414380641885.4,6,1995
15769108285180.8,7,1995
17751427084877.3,8,1995
18271463673686.4,9,1995
17859089012451.7,10,1995
15545343007238.8,11,1995
11929993106440.5,12,1995
6292894893094.71,1,1996
2736673205728.65,2,1996
4277096595283.87,3,1996
7589275008684.18,4,1996
11080344189445.7,5,1996
13970621251962.3,6,1996
16144762578851.2,7,1996
17676787833770,8,1996
18398294889019.6,9,1996
17740085123914,10,1996
15978697530201.4,11,1996
11110886823892.9,12,1996
4167556258304.56,1,1997
2169475557735.85,2,1997
3539739766120.9,3,1997
6686094114317.8,4,1997
10423387261689.2,5,1997
13254788336984.6,6,1997
15993409926267.5,7,1997
17627728403421.5,8,1997
18692190586092.5,9,1997
17667409705183.1,10,1997
15801702956036.7,11,1997
11617390126197.3,12,1997
4382354449738.79,1,1998
2877232913984.52,2,1998
4359186740238.32,3,1998
7133212840569.29,4,1998
10484099447847.5,5,1998
13520405635157.2,6,1998
15924126222590,7,1998
17714451461706.9,8,1998
18680709171522,9,1998
18380577984972.7,10,1998
16222191118712,11,1998
11587324941259.5,12,1998
5337980118081.82,1,1999
2779866534816.58,2,1999
4227400539380.57,3,1999
6936678657123.05,4,1999
10466741045462.1,5,1999
13796874581508.1,6,1999
16302544862800.5,7,1999
17815340251859.9,8,1999
18554753988057.5,9,1999
18247953115624.5,10,1999
15888560261690,11,1999
11853420975496.1,12,1999
4547081844108.3,1,2000
2700745979369.43,2,2000
4093825451951.48,3,2000
7355463114539.83,4,2000
11241444588644.6,5,2000
13962335073086.1,6,2000
16314868254238.2,7,2000
18148395224913,8,2000
18647786874912,9,2000
18046683168300.8,10,2000
15815157033751.8,11,2000
10707766732277.2,12,2000
5366054387333.05,1,2001
3619482677821.49,2,2001
4741391919724.76,3,2001
7118948983572.63,4,2001
10534874828319.8,5,2001
13497254174450.7,6,2001
15760973004488.4,7,2001
17594557319345.5,8,2001
17986357629677.2,9,2001
17640749428407.7,10,2001
15409771311580.4,11,2001
10920566190611.6,12,2001
4490998865095.9,1,2002
2631060048064.7,2,2002
3623126866460.02,3,2002
6573007273829.01,4,2002
9591259211029.58,5,2002
12509226267031.9,6,2002
15533679390232,7,2002
17015663479001.5,8,2002
17719073408765.6,9,2002
17732630955739.3,10,2002
15605777615743.1,11,2002
11522952258728.8,12,2002
5869830223457.21,1,2003
3632440359785.75,2,2003
4468824333901.09,3,2003
7390037440131.54,4,2003
10938162036112.2,5,2003
14059585042342.1,6,2003
16386573470401.8,7,2003
17604386289936.1,8,2003
18180746445038.3,9,2003
17962104799375.7,10,2003
16158186827063.1,11,2003
11458546181942.3,12,2003
5352993803538.27,1,2004
3439983058730.82,2,2004
4509811707759.46,3,2004
7391909419972.18,4,2004
10538271793265.1,5,2004
13913463355461.1,6,2004
16314049466822.7,7,2004
17808771847106.5,8,2004
18707737250192.7,9,2004
18165162636102.3,10,2004
16153204172179,11,2004
12193242409029.6,12,2004
4510208012022.27,1,2005
2792493062426.69,2,2005
4122254426215.71,3,2005
7124321654468.91,4,2005
10535557017696.6,5,2005
13493506096563.2,6,2005
16240146922766.4,7,2005
17825149727526.7,8,2005
18681385744780.8,9,2005
18262991046740.9,10,2005
16316289952474.2,11,2005
11191347063484.7,12,2005
3820893741934.67,1,2006
2389952810813.19,2,2006
3135362972580.03,3,2006
6164291493032.73,4,2006
9722126294428.54,5,2006
13572905280322.7,6,2006
16188931444381.5,7,2006
17907498506334.6,8,2006
18922959059817.8,9,2006
18538250266997.7,10,2006
16315642024492.2,11,2006
10326881900454.5,12,2006
4591919653896.68,1,2007
2686844015005.85,2,2007
3727411183101.44,3,2007
6569037789077.78,4,2007
9891971976121.62,5,2007
13396042593822,6,2007
16013474805854.9,7,2007
17542113313617.9,8,2007
18733197408541.7,9,2007
18161336453330.2,10,2007
15751148578470.9,11,2007
12432632444525.3,12,2007
7012850914353.2,1,2008
3946748488288.56,2,2008
5434492473376.48,3,2008
8267712766925.2,4,2008
11092961098204.7,5,2008
14057470308264.4,6,2008
16101088839895.1,7,2008
17466604620682,8,2008
18049334067236.8,9,2008
17621401336000,10,2008
16139264595687.3,11,2008
12175222123895.4,12,2008
6267395355912.85,1,2009
2693075946917.01,2,2009
4625614000476.6,3,2009
7953544179465.24,4,2009
11019018698246.6,5,2009
13960039106312.8,6,2009
16183509274473.6,7,2009
18140472298316.4,8,2009
18730950578702.6,9,2009
18135360508808.8,10,2009
15914442270343.9,11,2009
11331769820027,12,2009
4657764979606.54,1,2010
3016159907397.57,2,2010
3741597308109.94,3,2010
6877636701541.51,4,2010
11064829845193,5,2010
14540963019822.4,6,2010
16743739822126.6,7,2010
18367406653184.9,8,2010
18715291854317,9,2010
18362448157468.4,10,2010
16527430620763.6,11,2010
12989322386062.4,12,2010
3716346763537.17,1,2011
2242529224781.25,2,2011
3264931129230.49,3,2011
6367378173040.27,4,2011
10401398191690.1,5,2011
13363933382720.4,6,2011
15929226560006.1,7,2011
17679177908691.7,8,2011
18489447313716.8,9,2011
18035534808782.2,10,2011
15692461961265.8,11,2011
12386901516491.7,12,2011
5910276917091.87,1,2012
3296685380045.13,2,2012
4686425145801.34,3,2012
7568259946190.79,4,2012
10546226003178.2,5,2012
13743829085495.1,6,2012
16299904490284,7,2012
17965302125432.1,8,2012
18960366486482.5,9,2012
18440876603502.9,10,2012
16181816769147.7,11,2012
11399388327665.9,12,2012
6069554777662.8,1,2013
3597129010278.31,2,2013
5050390097773.51,3,2013
7667415124629.81,4,2013
11037367879549.3,5,2013
14217118830820.8,6,2013
16659304210555.2,7,2013
18503625598404.5,8,2013
19352565263703.6,9,2013
18993510700389.5,10,2013
16755241286147.8,11,2013
12775941428267.2,12,2013
7328131467935.54,1,2014
3541155978964.29,2,2014
4906593997324.17,3,2014
8611568309666.26,4,2014
11619574306927.3,5,2014
14801971621753,6,2014
16961965025435.2,7,2014
18783191601445.7,8,2014
19609688658315.7,9,2014
18753519659233.1,10,2014
16220203676813.7,11,2014
12289749602754.8,12,2014
7526226232654.44,1,2015
3241871368006.1,2,2015
5111556404849.99,3,2015
8650589352639.83,4,2015
11705012218615.1,5,2015
14518329042628.2,6,2015
16643475442745.5,7,2015
17627685270537.6,8,2015
18300803057649.2,9,2015
18121688647150.6,10,2015
16085096868751.6,11,2015
11270331317124.7,12,2015
4664038288859.01,1,2016
2563430976006.56,2,2016
4282976742635.94,3,2016
7263453172909.19,4,2016
10262965309422.8,5,2016
13373814338720.8,6,2016
16053114590050.8,7,2016
17736561569910.6,8,2016
18014546849095.6,9,2016
17214881572482,10,2016
14190284646909.9,11,2016
8979484465945.18,12,2016
3637060312615.07,1,2017
2100969961666.82,2,2017
